-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us       1.433ms         0.03%       1.433ms       1.433ms             1  
                                           _bias_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.200ms         0.03%       1.200ms       9.227us           130  
                                           aten::argmax         0.01%       2.013ms         0.01%       2.856ms      21.969us       1.008ms         0.02%       1.008ms       7.756us           130  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.008ms         0.02%       1.008ms       7.756us           130  
                            _gather_block_tables_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     917.162us         0.02%     917.162us       7.055us           130  
     triton_red_fused__to_copy_embedding_mul_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us     814.440us         0.02%     814.440us       6.265us           130  
                                    _post_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     778.690us         0.02%     778.690us       5.990us           130  
                                            aten::fill_         0.01%       2.982ms         0.03%       6.908ms       9.689us     761.957us         0.02%     761.957us       1.069us           713  
               _combine_sampled_and_draft_tokens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     742.661us         0.02%     742.661us       5.713us           130  
                   _get_num_sampled_and_rejected_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     720.204us         0.02%     720.204us       5.540us           130  
                          _compute_slot_mappings_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     639.585us         0.01%     639.585us       4.920us           130  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     603.868us         0.01%     603.868us       2.033us           297  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     584.581us         0.01%     584.581us       4.497us           130  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     540.290us         0.01%     540.290us       4.156us           130  
                                           aten::gather         0.01%       1.864ms         0.01%       2.844ms      21.877us     450.276us         0.01%     450.276us       3.464us           130  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     450.276us         0.01%     450.276us       3.464us           130  
                                      aten::index_fill_         0.01%       1.461ms         0.01%       2.433ms      18.712us     448.098us         0.01%     448.098us       3.447us           130  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     448.098us         0.01%     448.098us       3.447us           130  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     442.305us         0.01%     442.305us       3.402us           130  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     434.223us         0.01%     434.223us       1.670us           260  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us     424.417us         0.01%     424.417us      53.052us             8  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     386.241us         0.01%     386.241us       1.486us           260  
                                     triton_red_fused_1         0.00%      15.110us         0.00%      67.661us      33.831us     355.938us         0.01%     355.938us     177.969us             2  
                           _prepare_pos_seq_lens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     326.208us         0.01%     326.208us       2.509us           130  
