-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                        triton_red_fused_add_rms_norm_2         0.01%     504.961us         0.03%       2.186ms      26.022us       3.983ms         0.20%       3.983ms      47.415us            84  
ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us       3.894ms         0.19%       3.894ms      46.360us            84  
                                     triton_red_fused_5         0.00%     285.814us         0.02%       1.340ms      29.138us       3.641ms         0.18%       3.641ms      79.158us            46  
                                       cuLaunchKernelEx         0.13%      10.488ms         0.13%      10.488ms       8.206us       1.997ms         0.10%       1.997ms       1.563us          1278  
triton_red_fused_add_cat_index_select_mul_rms_norm_s...         0.00%     232.303us         0.01%     960.407us      26.678us       1.805ms         0.09%       1.805ms      50.145us            36  
                                     triton_red_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us       1.731ms         0.09%       1.731ms      13.313us           130  
                                            aten::index         0.08%       6.310ms         0.13%      11.069ms      28.382us       1.586ms         0.08%       1.586ms       4.066us           390  
                          vllm::unified_kv_cache_update         0.00%     377.998us         0.18%      14.584ms     202.553us       1.221ms         0.06%       1.221ms      16.957us            72  
                                           _bias_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.169ms         0.06%       1.169ms       8.991us           130  
                                           aten::argmax         0.02%       1.959ms         0.03%       2.798ms      21.523us       1.010ms         0.05%       1.010ms       7.766us           130  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.010ms         0.05%       1.010ms       7.766us           130  
                            _gather_block_tables_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.007ms         0.05%       1.007ms       7.749us           130  
                                  cudaStreamIsCapturing         0.01%     709.903us         0.01%     709.903us       0.472us     878.372us         0.04%     878.372us       0.584us          1504  
               _combine_sampled_and_draft_tokens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     829.283us         0.04%     829.283us       6.379us           130  
                                    _post_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     745.826us         0.04%     745.826us       5.737us           130  
     triton_red_fused__to_copy_embedding_mul_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us     724.196us         0.04%     724.196us       5.571us           130  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     706.925us         0.04%     706.925us       2.380us           297  
                   _get_num_sampled_and_rejected_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     695.270us         0.03%     695.270us       5.348us           130  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     665.289us         0.03%     665.289us       5.118us           130  
                            triton_poi_fused_gelu_mul_3         0.01%     459.360us         0.02%       1.815ms      21.602us     630.945us         0.03%     630.945us       7.511us            84  
                          _compute_slot_mappings_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     600.125us         0.03%     600.125us       4.616us           130  
                                            aten::fill_         0.03%       2.716ms         0.07%       5.860ms       8.219us     558.852us         0.03%     558.852us       0.784us           713  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     536.347us         0.03%     536.347us       2.063us           260  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     507.583us         0.03%     507.583us       3.904us           130  
                                     triton_red_fused_1         0.00%      17.083us         0.00%      81.888us      40.944us     455.778us         0.02%     455.778us     227.889us             2  
                                           aten::gather         0.02%       1.930ms         0.04%       2.926ms      22.505us     440.968us         0.02%     440.968us       3.392us           130  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     440.968us         0.02%     440.968us       3.392us           130  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     412.705us         0.02%     412.705us       3.175us           130  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     362.563us         0.02%     362.563us       1.394us           260  
                           _prepare_pos_seq_lens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     320.824us         0.02%     320.824us       2.468us           130  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us     281.309us         0.01%     281.309us       6.698us            42  
                                        cudaGraphLaunch         0.82%      67.401ms         0.93%      76.364ms     449.199us     275.745us         0.01%     275.745us       1.622us           170  
                                    _apply_write_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     251.393us         0.01%     251.393us       6.794us            37  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us     240.839us         0.01%     240.839us       1.896us           127  
                               cudaEventRecordWithFlags         0.01%       1.238ms         0.01%       1.238ms       1.515us     231.938us         0.01%     231.938us       0.284us           817  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     193.633us         0.01%     193.633us       1.489us           130  
                                           aten::arange         0.02%       1.279ms         0.08%       6.213ms      23.896us     178.144us         0.01%     356.288us       1.370us           260  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     178.144us         0.01%     178.144us       1.370us           130  
     triton_red_fused__to_copy_embedding_mul_rms_norm_0         0.00%      18.365us         0.00%     143.396us      71.698us      88.448us         0.00%      88.448us      44.224us             2  
                                    cudaStreamWaitEvent         0.00%     143.285us         0.00%     143.285us       1.102us      58.433us         0.00%      58.433us       0.449us           130  
                                       Memset (Unknown)         0.00%       0.000us         0.00%       0.000us       0.000us      45.887us         0.00%      45.887us       1.093us            42  
