-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.034ms         0.14%       1.034ms       7.953us           130  
void cutlass::Kernel2<cutlass_80_tensorop_s16816gemm...         0.00%       0.000us         0.00%       0.000us       0.000us     927.005us         0.12%     927.005us      16.554us            56  
ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us     888.997us         0.12%     888.997us      31.750us            28  
                            _gather_block_tables_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     833.151us         0.11%     833.151us       6.409us           130  
                                    _post_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     750.435us         0.10%     750.435us       5.773us           130  
               _combine_sampled_and_draft_tokens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     724.194us         0.10%     724.194us       5.571us           130  
                   _get_num_sampled_and_rejected_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     702.177us         0.09%     702.177us       5.401us           130  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     692.735us         0.09%     692.735us       5.329us           130  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     636.773us         0.09%     636.773us      21.958us            29  
                                  cudaStreamIsCapturing         0.01%     701.923us         0.01%     701.923us       0.467us     602.499us         0.08%     602.499us       0.401us          1504  
                                       cuLaunchKernelEx         0.13%       8.459ms         0.13%       8.459ms       7.832us     573.795us         0.08%     573.795us       0.531us          1080  
                                            aten::fill_         0.04%       2.817ms         0.09%       6.045ms       8.479us     562.857us         0.08%     562.857us       0.789us           713  
         triton_red_fused__to_copy_embedding_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us     556.420us         0.07%     556.420us       4.280us           130  
                          _compute_slot_mappings_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     520.061us         0.07%     520.061us       4.000us           130  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     501.732us         0.07%     501.732us       3.859us           130  
                                     triton_poi_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us     464.992us         0.06%     464.992us       3.577us           130  
