-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us       1.129ms         0.15%       1.129ms      40.318us            28  
                               cudaEventRecordWithFlags         0.02%       1.277ms         0.02%       1.277ms       1.563us       1.103ms         0.15%       1.103ms       1.350us           817  
                                           aten::argmax         0.04%       2.099ms         0.05%       2.964ms      22.801us       1.037ms         0.14%       1.037ms       7.977us           130  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.037ms         0.14%       1.037ms       7.977us           130  
                                  cudaStreamIsCapturing         0.01%     719.087us         0.01%     719.087us       0.478us     963.941us         0.13%     963.941us       0.641us          1504  
void cutlass::Kernel2<cutlass_80_tensorop_s16816gemm...         0.00%       0.000us         0.00%       0.000us       0.000us     926.726us         0.12%     926.726us      16.549us            56  
                            _gather_block_tables_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     831.458us         0.11%     831.458us       6.396us           130  
                                       cuLaunchKernelEx         0.16%       8.741ms         0.16%       8.741ms       8.094us     784.707us         0.11%     784.707us       0.727us          1080  
                                    _post_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     749.444us         0.10%     749.444us       5.765us           130  
                                            aten::fill_         0.06%       3.230ms         0.14%       7.325ms      10.274us     723.209us         0.10%     723.209us       1.014us           713  
               _combine_sampled_and_draft_tokens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     720.833us         0.10%     720.833us       5.545us           130  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     717.829us         0.10%     717.829us      24.753us            29  
                   _get_num_sampled_and_rejected_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     690.794us         0.09%     690.794us       5.314us           130  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     680.899us         0.09%     680.899us       5.238us           130  
         triton_red_fused__to_copy_embedding_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us     548.523us         0.07%     548.523us       4.219us           130  
                          _compute_slot_mappings_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     516.001us         0.07%     516.001us       3.969us           130  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     495.616us         0.07%     495.616us       3.812us           130  
                                     triton_poi_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us     468.324us         0.06%     468.324us       3.602us           130  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_relu_f2f_sta...         0.00%       0.000us         0.00%       0.000us       0.000us     428.291us         0.06%     428.291us      15.296us            28  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     423.618us         0.06%     423.618us       1.629us           260  
                                           aten::gather         0.04%       1.972ms         0.06%       3.008ms      23.142us     422.306us         0.06%     422.306us       3.249us           130  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     422.306us         0.06%     422.306us       3.249us           130  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     388.637us         0.05%     388.637us       2.990us           130  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     363.910us         0.05%     363.910us       1.400us           260  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     347.355us         0.05%     347.355us       1.170us           297  
                           _prepare_pos_seq_lens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     316.770us         0.04%     316.770us       2.437us           130  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us     233.979us         0.03%     233.979us       1.842us           127  
