-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                        triton_red_fused_add_rms_norm_2         0.01%     525.294us         0.03%       2.252ms      26.809us       4.037ms         0.20%       4.037ms      48.065us            84  
ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us       3.928ms         0.19%       3.928ms      46.767us            84  
                                     triton_red_fused_5         0.00%     294.714us         0.02%       1.408ms      30.609us       3.795ms         0.19%       3.795ms      82.502us            46  
                               cudaEventRecordWithFlags         0.01%       1.238ms         0.01%       1.238ms       1.515us       3.119ms         0.15%       3.119ms       3.818us           817  
                                        cudaGraphLaunch         0.82%      68.022ms         0.93%      76.922ms     452.480us       2.285ms         0.11%       2.285ms      13.444us           170  
                                       cuLaunchKernelEx         0.13%      10.732ms         0.13%      10.732ms       8.398us       2.072ms         0.10%       2.072ms       1.621us          1278  
triton_red_fused_add_cat_index_select_mul_rms_norm_s...         0.00%     231.883us         0.01%     969.673us      26.935us       1.822ms         0.09%       1.822ms      50.619us            36  
                                     triton_red_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us       1.773ms         0.09%       1.773ms      13.640us           130  
                                            aten::index         0.08%       6.473ms         0.14%      11.178ms      28.662us       1.615ms         0.08%       1.615ms       4.142us           390  
                                           _bias_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.280ms         0.06%       1.280ms       9.846us           130  
                          vllm::unified_kv_cache_update         0.00%     378.325us         0.18%      14.809ms     205.677us       1.232ms         0.06%       1.232ms      17.116us            72  
                                           aten::argmax         0.03%       2.117ms         0.04%       3.015ms      23.190us       1.012ms         0.05%       1.012ms       7.785us           130  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.012ms         0.05%       1.012ms       7.785us           130  
                            _gather_block_tables_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     895.080us         0.04%     895.080us       6.885us           130  
                                  cudaStreamIsCapturing         0.01%     715.209us         0.01%     715.209us       0.476us     862.597us         0.04%     862.597us       0.574us          1504  
                                    _post_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     749.923us         0.04%     749.923us       5.769us           130  
               _combine_sampled_and_draft_tokens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     738.945us         0.04%     738.945us       5.684us           130  
     triton_red_fused__to_copy_embedding_mul_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us     727.945us         0.04%     727.945us       5.600us           130  
                                            aten::fill_         0.04%       3.064ms         0.09%       7.237ms      10.150us     727.944us         0.04%     727.944us       1.021us           713  
                   _get_num_sampled_and_rejected_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     710.309us         0.04%     710.309us       5.464us           130  
                            triton_poi_fused_gelu_mul_3         0.01%     485.412us         0.02%       1.903ms      22.656us     689.285us         0.03%     689.285us       8.206us            84  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     665.028us         0.03%     665.028us       5.116us           130  
                          _compute_slot_mappings_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     601.507us         0.03%     601.507us       4.627us           130  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     583.623us         0.03%     583.623us       1.965us           297  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     527.396us         0.03%     527.396us       4.057us           130  
                                     triton_red_fused_1         0.00%      17.383us         0.00%      86.657us      43.329us     462.690us         0.02%     462.690us     231.345us             2  
                                           aten::gather         0.02%       1.986ms         0.04%       3.026ms      23.277us     441.470us         0.02%     441.470us       3.396us           130  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     441.470us         0.02%     441.470us       3.396us           130  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     419.265us         0.02%     419.265us       1.613us           260  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     416.708us         0.02%     416.708us       3.230us           129  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     368.386us         0.02%     368.386us       1.417us           260  
