-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.005ms         0.02%       1.005ms       7.727us           130  
                            _gather_block_tables_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     914.627us         0.02%     914.627us       7.036us           130  
     triton_red_fused__to_copy_embedding_mul_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us     804.322us         0.02%     804.322us       6.187us           130  
                                    _post_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     785.088us         0.02%     785.088us       6.039us           130  
               _combine_sampled_and_draft_tokens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     752.548us         0.02%     752.548us       5.789us           130  
                   _get_num_sampled_and_rejected_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     715.232us         0.02%     715.232us       5.502us           130  
                          _compute_slot_mappings_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     636.773us         0.01%     636.773us       4.898us           130  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     612.456us         0.01%     612.456us       2.062us           297  
                                            aten::fill_         0.01%       2.979ms         0.02%       6.189ms       8.681us     584.989us         0.01%     584.989us       0.820us           713  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     579.267us         0.01%     579.267us       4.456us           130  
                               cudaEventRecordWithFlags         0.00%       1.217ms         0.00%       1.217ms       1.489us     560.930us         0.01%     560.930us       0.687us           817  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     503.267us         0.01%     503.267us       3.871us           130  
                                     triton_red_fused_1         0.00%      26.582us         0.00%     116.254us      38.751us     488.866us         0.01%     488.866us     162.955us             3  
                                      aten::index_fill_         0.01%       1.450ms         0.01%       2.402ms      18.477us     448.320us         0.01%     448.320us       3.449us           130  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     448.320us         0.01%     448.320us       3.449us           130  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     446.217us         0.01%     446.217us       1.716us           260  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     443.745us         0.01%     443.745us       3.413us           130  
                                           aten::gather         0.01%       1.796ms         0.01%       2.793ms      21.488us     437.729us         0.01%     437.729us       3.367us           130  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     437.729us         0.01%     437.729us       3.367us           130  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us     428.386us         0.01%     428.386us      53.548us             8  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     379.651us         0.01%     379.651us       1.460us           260  
                           _prepare_pos_seq_lens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     328.862us         0.01%     328.862us       2.530us           130  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us     273.118us         0.01%     273.118us       2.151us           127  
                                    _apply_write_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     269.890us         0.01%     269.890us       7.294us            37  
                                  cudaStreamIsCapturing         0.00%     721.721us         0.00%     721.721us       0.480us     228.963us         0.00%     228.963us       0.152us          1504  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     204.026us         0.00%     204.026us       1.557us           131  
                                           aten::arange         0.00%       1.302ms         0.02%       6.109ms      23.498us     187.914us         0.00%     375.828us       1.445us           260  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     187.914us         0.00%     187.914us       1.445us           130  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     151.294us         0.00%     151.294us       1.455us           104  
     triton_red_fused__to_copy_embedding_mul_rms_norm_0         0.00%      27.472us         0.00%     134.909us      44.970us     130.369us         0.00%     130.369us      43.456us             3  
                         _prepare_prefill_inputs_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      20.831us         0.00%      20.831us       6.944us             3  
                                   cudaEventSynchronize        10.88%        3.143s        10.88%        3.143s      24.176ms       8.127us         0.00%       8.127us       0.063us           130  
                                        cudaGraphLaunch         0.18%      50.574ms         0.20%      57.424ms     452.160us       3.712us         0.00%       3.712us       0.029us           127  
                                Activity Buffer Request         0.03%       9.513ms         0.04%      10.498ms       1.750ms       3.296us         0.00%       1.822ms     303.676us             6  
                                    cudaStreamWaitEvent         0.00%     140.893us         0.00%     140.893us       1.084us       2.945us         0.00%       2.945us       0.023us           130  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.312us         0.00%       1.312us       1.312us             1  
                         threading.py(1032): _bootstrap         0.00%       2.756us       116.67%       33.705s        4.815s       0.000us         0.00%       0.000us       0.000us             7  
                   threading.py(1075): _bootstrap_inner         0.00%       8.175us       116.67%       33.705s        4.815s       0.000us         0.00%       0.000us       0.000us             7  
                                threading.py(1012): run         0.00%       3.668us        66.67%       19.260s        4.815s       0.000us         0.00%       0.000us       0.000us             4  
                     vllm/v1/engine/utils.py(268): _run         0.00%       3.386us        16.67%        4.815s        4.815s       0.000us         0.00%       0.000us       0.000us             1  
                                threading.py(655): wait         0.00%      12.894us        36.97%       10.681s        2.670s       0.000us         0.00%       0.000us       0.000us             4  
                                threading.py(355): wait         0.00%     598.602us        16.67%        4.816s        2.408s       0.000us         0.00%       0.000us       0.000us             2  
vllm/v1/engine/core.py(1790): process_output_sockets...         0.01%       2.436ms        16.67%        4.815s        4.815s       0.000us         0.00%       0.000us       0.000us             1  
                                     queue.py(171): get         0.00%       9.960us         0.00%     623.279us     623.279us       0.000us         0.00%       0.000us       0.000us             1  
    vllm/v1/engine/core.py(1709): process_input_sockets         0.01%       3.124ms        16.67%        4.815s        4.815s       0.000us         0.00%       0.000us       0.000us             1  
                           zmq/sugar/poll.py(106): poll         0.00%       1.248ms         0.00%       1.248ms       1.248ms       0.000us         0.00%       0.000us       0.000us             1  
                              tqdm/_monitor.py(69): run         0.00%      26.923us        50.00%       14.445s        4.815s       0.000us         0.00%       0.000us       0.000us             3  
                                threading.py(359): wait         3.64%        1.050s        20.30%        5.865s        1.955s       0.000us         0.00%       0.000us       0.000us             3  
     vllm/usage/usage_lib.py(173): _report_usage_worker         0.00%       0.761us        16.67%        4.815s        4.815s       0.000us         0.00%       0.000us       0.000us             1  
vllm/usage/usage_lib.py(255): _report_continuous_usa...        16.67%        4.815s        16.67%        4.815s        4.815s       0.000us         0.00%       0.000us       0.000us             1  
                                  <string>(1): <module>         0.00%       1.042us        16.67%        4.815s        4.815s       0.000us         0.00%        1.192s        1.192s             1  
              multiprocessing/spawn.py(122): spawn_main         0.00%       1.153us        16.67%        4.815s        4.815s       0.000us         0.00%        1.192s        1.192s             1  
                   multiprocessing/spawn.py(135): _main         0.00%       1.042us        16.67%        4.815s        4.815s       0.000us         0.00%        1.192s        1.192s             1  
            multiprocessing/process.py(314): _bootstrap         0.00%       2.635us        16.67%        4.815s        4.815s       0.000us         0.00%        1.192s        1.192s             1  
                   multiprocessing/process.py(108): run         0.00%       1.583us        16.67%        4.815s        4.815s       0.000us         0.00%        1.192s        1.192s             1  
          vllm/v1/engine/core.py(1339): run_engine_core         0.00%       1.032us        16.67%        4.815s        4.815s       0.000us         0.00%        1.192s        1.192s             1  
vllm/v1/fault_tolerance/engine_core_sentinel.py(179)...         0.00%       0.360us        16.67%        4.815s        4.815s       0.000us         0.00%        1.192s        1.192s             1  
            vllm/v1/engine/core.py(1379): run_busy_loop         0.00%     312.817us        16.67%        4.815s        4.815s       0.000us         0.00%        1.192s        1.192s             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 28.890s
Self CUDA time total: 4.760s

