policy,requests,duration_s,output_tokens_s,slo_goodput_rps,slo_attainment_percent,p99_ttft_s,p99_tpot_s,p99_stream_gap_s,max_stream_chunk_tokens,mean_gpu_busy_percent,max_device_memory_bytes,repeat
default,240,41.21998356003314,745.2695839933833,2.4745279156030304,42.5,16.419807188770783,0.08393843755344163,0.5626838520565071,1,99.98543689320388,36563255296,0
fixed32,240,47.64691473683342,644.7426904695661,2.1197594966610085,42.083333333333336,16.09526979188725,0.08031490466130282,0.3071433073049411,1,99.50840336134453,36563255296,0
context_budget,240,50.999872494954616,602.3544471221787,1.9803971080514342,42.083333333333336,24.324802519696814,0.04605541499844921,0.3028468741313554,1,99.48425196850394,36563255296,0
default,240,39.00219755782746,787.6479255932264,2.692155995679973,43.75,12.793508926257138,0.08940222387290082,0.5668508843169547,1,99.3076923076923,38100467712,1
fixed32,240,45.237223806092516,679.0867656176251,2.2105688984948735,41.666666666666664,15.458787793681243,0.08809561353996322,0.3072507347189821,1,99.99115044247787,38100467712,1
context_budget,240,49.86168126994744,616.1043754959686,2.0456590592639583,42.5,24.31618816193404,0.04634432504045241,0.3021961512695998,1,99.87951807228916,38100467712,1
default,240,40.053738720016554,766.9696008839222,2.5965116696591117,43.333333333333336,11.900900651428332,0.0915359631017415,0.5656490907957777,1,99.085,38154993664,2
fixed32,240,45.71091850101948,672.0495016811981,2.275167583816556,43.333333333333336,13.413896871000807,0.08788040574784867,0.30879045931156723,1,99.51754385964912,38154993664,2
context_budget,240,50.651749483076856,606.4943523868567,2.013750779409485,42.5,23.042387865392357,0.045282554895998396,0.30144931172020734,1,99.9802371541502,38154993664,2
